#
# Install
#

Only top or bottom allowed|Nur Oben oder Unten erlaubt
Language is not available|Sprache ist nicht verf&uuml;gbar
Language|Sprache
de|Deutsch
es|Spanisch
cs|Tschechisch
en|Englisch
pt|Portugisisch
fr|Franz&ouml;sisch
Refresh RSS Feeds every|Aktualisiere RSS Feeds alle
minutes|Minuten
Items per Page|Eintr&auml;ge pro Seite
Save open Categories|Speichere offene Kategorien
First show unread Items|Zuerst ungelesene Eintr&auml;ge zeigen
Allow public access|&Ouml;ffentlichen Zugriff erlauben
Activate login|Login aktivieren
Drag this link into your bookmarks bar. Everytime you want to subscribe an open feed, click on this bookmark.|Ziehe diesen Link in deine Lesezeichenleiste. Jedes mal wenn du ein ge&ouml;ffnetes Feed abonnieren willst, dann klicke auf dieses Bookmark!
subscribe feed|Feed abonnieren
Entries old than this value will be deleted. Enter 0 for never deleting items.|Eintr&auml;ge &auml;lter als dieser Wert werden gel&ouml;scht. Gib 0 ein, falls die Eintr&auml;ge nie gel&ouml;scht werden sollen.
Open links in new window|Links in neuem Fenster &ouml;ffnen
Anonymizer URL (e.g. http://anonym.to/?)|Anonymisierer (z.B. http://anonym.to/?)
Show items opened|Eintr&auml;ge ge&ouml;ffnet anzeigen


#
# Add/Edit Feed
#

add feed|Feed hinzuf&uuml;gen
edit feed|Feed bearbeiten
Name|Name
Source|Quelle
Category|Kategorie
Choose an Feedtype from the left menue|W&auml;hle einen Feed Typ aus dem linksstehenden Men&uuml;
No feed with given ID found|Kein Feed mit der angegebenen ID gefunden

Enter an internal name for this feed|Gib einen internen Namen f&uuml;r das Feed ein
Enter the source of this feed|Gib eine Quelle f&uuml;r das Feed ein
Enter a numeric priority|Gib eine numerische Priorit&auml;t ein
Optional: enter the url of the favicon|Optional: gib eine URL f&uuml;r das Favicon ein
Optional: enter a regular expression (preg_match), only entries which match this expression will be fetched|Optional: gib einen regul&auml;ren Ausdruck ein (preg_match), nur Eintr&auml;ge die diesem Ausdruck entsprechen werden gelesen

#
# List of items
#

No valid date given|kein g&uuml;ltiges Datum
Only true or false allowed|nur wahr oder falsch erlaubt
Only both, multimedia, message allowed|Nur beides, Bilder und Nachrichten erlaubt
Only date or rating allowed|Nur Datum oder Bewertung erlaubt
No items found|Keine Eintr&auml;ge gefunden
more|mehr
starr|vormerken
no title|kein Titel

#
# opml error
#
opml file parse error|OPML Datei Fehler
