#
# Install
#

Priority|Priorit&eacute;
main menu|Menu principal
Settings|Param&egrave;tres
Categories|Catégories
Show all Feeds|Voir tous les flux
Hide all Feeds|Cacher tous les flux
Logout|D&eacute;connexion
Login|Connexion
login|connexion
show rsslounge in public mode|Afficher rsslounge en mode public
mark all as read|Marquer tout comme lu
unstarr all|Arr&ecirc;ter le suivi
date|Date
all|tous
only unread|Seulement les non lus
only images|Seulement les images
only messages|Seulement les messages
sort by rating|Trier par note
images and messages|Images et messages
add new feed|Ajouter un flux
starred items|El&eacute;ments suivis
all items|Tous les &eacute;l&eacute;ments
all feeds|Tous les flux
edit|Editer
search|Chercher
uncategorized|Sans cat&eacute;gorie
an error occured|Une erreur est survenue
remove search|Supprimer la recherche
Search for|Rechercher
Errormessages|Messages d'erreur
About|Info
This application doesn't support the Internet Explorer 6. Please install a newer Version, a Gecko or Webkit based or another modern Browser!|Cette application ne supporte pas IE6. Veuillez installer une version plus r&eacute;cente ou un navigateur bas&eacute; sur Gecko ou webkit.
unread items|El&eacute;ments non lus
read items|El&eacute;ments lus
feeds|Flux
first new|R&eacute;cents en premier
first old|Vieux en premier
priority ascending|Tri ascendant
priority descending|Tri descendant


#
# Validation
#

category doesn't exists|La cat&eacute;gorie n'existe pas
feed doesn't exists|Le flux n'existe pas
Value is required and can't be empty|La valeur est obligatoire et ne peux &ecirc;tre nulle
Only alphanummeric values allowed|Valeur alpahnum&eacute;rique seulement
Only digits allowed|Chiffres seulement
source doesn't exists|La source n'existe pas
invalid item id|ID d'&eacute;l&eacute;ment invalide
Value must be bigger than 0|La valeur doit &ecirc;tre plus grande que 0
feed already exists|Le flux existe d&eacute;j&agrave;
Please choose a value between 0 and 2000 days|Choisissez une valeur entre 0 et 2000 jours
Please choose a value between 0 and 200 items per page|Choisssez une valeur entre 0 et 200 &eacute;l&eacute;ments par page


#
# Category edit
#

edit categories|Editer une cat&eacute;gorie
delete|Supprimer
add category|Ajouter une cat&eacute;gorie


#
# Settings
#

settings|Param&egrav;tres
top|Haut
bottom|Bas
Position of Images|Position des images
Height of Imagebox|Hauteur de la bo&icirc;te &agrave; images
Delete Entries older than|Supprimer les entr&eacute;es plus vieilles que
Mark as read on click|Marquer comme lu lors du clic
1 row|1 rang&eacute;e
2 rows|2 rang&eacute;es
3 rows|3 rang&eacute;es
days|jours
Only top or bottom allowed|Seul haut ou bas sont autoris&eacute;s
Language is not available|La langue n'est pas disponible
Language|Langue
de|Allemand
en|Anglais
pt|Portugais
fr|Français
Refresh RSS Feeds every|Actualiser les flux RSS tous les
minutes|Minutes
Items per Page|El&eacute;ments par page
Save open Categories|Sauvegarder les cat&eacute;gories ouvertes
First show unread Items|El&eacute;ments non lu en premier
Allow public access|Autoriser l'acc&egrave;s public
Activate login|Activer la connexion
Drag this link into your bookmarks bar. Everytime you want to subscribe an open feed, click on this bookmark.|Faites glisser le lien ci-dessous dans votre barre de marques pages. Chaque fois que vous souhaitez vous abonner &agrave; un flux, cliquez sur ce marque page.
subscribe feed|Souscrire au flux
Entries old than this value will be deleted. Enter 0 for never deleting items.|Les &eacute;l&eacute;ments plus vieux que cette valeur seront supprim&eacute;s. Entrer 0 pour ne jamais les supprimer.
Open links in new window|Ouvrir les liens dans une nouvelle fen&ecirc;tre
Anonymizer URL (e.g. http://anonym.to/?)|Anonymizeur (http://anonym.to/?)
Show items opened|Afficher les &eacute;l&eacute;ments ouverts


#
# Add/Edit Feed
#

add feed|Ajouter un flux
edit feed|Editer un flux
Name|Nom
Source|URL
Category|Cateacute;gorie
Choose an Feedtype from the left menue|Choisissez un type de flux dans le menu
No feed with given ID found|Aucun flux avec cet ID n'a &eacute;t&eacute; trouv&eacute;

Enter an internal name for this feed|Entrez un nom pour ce flux
Enter the source of this feed|Entrez la source du flux
Enter a numeric priority|Entrez un num&eacute;ro de priorit&eacute;
Optional: enter the url of the favicon|Optionnel: entrez l'URL de la favicon
Optional: enter a regular expression (preg_match), only entries which match this expression will be fetched|Optionnel: entrez une expression r&eacute;guli&egrav;re (preg_match), seul les &eacute;l&eacute;ments validant cette expression seront affich&eacute;s

#
# List of items
#

No valid date given|La date n'est pas valide
Only true or false allowed|Seul vrai ou faux sont autoris&eacute;s
Only both, multimedia, message allowed|Seul les multim&eacute;dia et les messages sont autoris&eacute;s
Only date or rating allowed|Seules les dates ou les &eacute;valuations sont autori&eacute;es
No items found|Aucun &eacute;l&eacute;ment trouv&eacute;
more|Plus
starr|Suivre
no title|Pas de titre

#
# opml error
#
opml file parse error|Erreur de parsage du fichier OPML
